Feature,Score
educational-num,6067.314477370941
capital-gain,3511.7845247999467
age,3447.466470020006
relationship,3155.895699750895
hours-per-week,2498.1690600207303
gender,2244.8614185815554
marital-status,1786.1866525386213
capital-loss,886.0053627515142
race,227.3964505174459
occupation,110.64264562158755
native-country,18.093006268613518
workclass,11.174801015597344
fnlwgt,0.3533382133251394
