Feature,Score
capital-gain,3320.3703227426736
age,3293.010933572676
relationship,2989.784263287305
hours-per-week,2353.868775677248
gender,2131.4422607286733
marital-status,1669.0329323781627
capital-loss,839.7139476045106
education,279.88909058144566
race,211.813168081039
occupation,100.59748859216512
native-country,16.437174942215613
workclass,9.181504576488706
fnlwgt,0.16351216050941908
educational-num,0.04552017500597371
